2.5%GOLDBONDS2028SR-III       ,SGBJUN28  ,GB,N,0008300.00,0008300.00,0008300.00,0008260.00,0008260.00,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008260.00
2.5%GOLDBONDS2028SR-VIII      ,SGBN28VIII,GB,N,0008355.00,0008311.00,0008464.99,0008265.00,0008278.50,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008278.50
2.5%GOLDBONDS2029SR-I         ,SGBMAY29I ,GB,N,0008326.85,0008308.00,0008323.95,0008225.03,0008247.08,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008250.00
2.5%GOLDBONDS2029SR-II        ,SGBJUN29II,GB,N,0008315.46,0008315.46,0008315.80,0008265.00,0008307.00,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008307.00
2.5%GOLDBONDS2029SR-III       ,SGBJU29III,GB,N,0008325.00,0008322.00,0008322.00,0008280.00,0008280.10,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008280.00
2.5%GOLDBONDS2029SR-VI        ,SGBSEP29VI,GB,N,0008288.00,0008288.00,0008327.50,0008201.02,0008216.76,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008230.00
2.5%GOLDBONDS2029SR-VII       ,SGBNV29VII,GB,N,0008298.00,0008225.11,0008315.00,0008225.11,0008270.16,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008265.00
2.50% GOLDBONDS2024 TR-VI     ,SGBNOV24  ,GB,N,0007947.34,0007970.00,0007970.00,0007836.01,0007881.00,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0007881.00
2.50% GOLDBONDS2025SR-III     ,SGBOCT25  ,GB,N,0008280.00,0008282.00,0008282.00,0008100.00,0008100.00,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008100.00
2.50% GOLDBONDS2025SR-V       ,SGBOCT25V ,GB,N,0008398.90,0008100.00,0008100.00,0008100.00,0008100.00,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008100.00
2.50% GOLDBONDS2025SR-VI      ,SGBNOV25VI,GB,N,0008043.35,0008290.00,0008290.00,0008050.00,0008050.00,    ,              ,                  ,0000000.00,0000000.00,06-NOV-2024,        ,0008050.00
